Month,CNN,FOX
2004-01,31,13
2004-02,32,13
2004-03,34,13
2004-04,34,14
2004-05,35,16
2004-06,36,16
2004-07,36,18
2004-08,39,17
2004-09,44,21
2004-10,48,25
2004-11,69,36
2004-12,40,15
2005-01,39,16
2005-02,36,15
2005-03,40,17
2005-04,45,17
2005-05,38,16
2005-06,47,19
2005-07,52,20
2005-08,59,24
2005-09,68,27
2005-10,45,16
2005-11,41,15
2005-12,40,15
2006-01,42,17
2006-02,41,16
2006-03,41,16
2006-04,40,15
2006-05,42,17
2006-06,42,16
2006-07,50,18
2006-08,54,20
2006-09,54,21
2006-10,54,20
2006-11,56,22
2006-12,48,17
2007-01,49,21
2007-02,54,23
2007-03,50,21
2007-04,67,26
2007-05,48,20
2007-06,52,22
2007-07,51,21
2007-08,59,23
2007-09,54,24
2007-10,53,24
2007-11,50,22
2007-12,48,21
2008-01,64,29
2008-02,72,29
2008-03,64,28
2008-04,58,25
2008-05,61,26
2008-06,58,24
2008-07,55,25
2008-08,69,32
2008-09,88,45
2008-10,96,49
2008-11,100,48
2008-12,64,31
2009-01,80,38
2009-02,63,35
2009-03,60,35
2009-04,65,37
2009-05,56,31
2009-06,72,34
2009-07,62,31
2009-08,52,31
2009-09,54,35
2009-10,54,35
2009-11,48,34
2009-12,46,30
2010-01,51,36
2010-02,46,31
2010-03,46,33
2010-04,45,28
2010-05,47,29
2010-06,47,28
2010-07,42,25
2010-08,40,25
2010-09,45,26
2010-10,46,27
2010-11,47,30
2010-12,42,25
2011-01,52,31
2011-02,50,31
2011-03,73,37
2011-04,54,31
2011-05,66,36
2011-06,49,28
2011-07,57,32
2011-08,66,34
2011-09,53,31
2011-10,52,30
2011-11,49,29
2011-12,46,27
2012-01,50,31
2012-02,50,29
2012-03,48,29
2012-04,46,27
2012-05,44,26
2012-06,48,29
2012-07,50,29
2012-08,50,30
2012-09,50,35
2012-10,72,48
2012-11,78,56
2012-12,71,40
2013-01,56,36
2013-02,60,35
2013-03,56,33
2013-04,98,48
2013-05,67,39
2013-06,57,34
2013-07,71,39
2013-08,59,33
2013-09,62,36
2013-10,65,40
2013-11,49,32
2013-12,47,30
2014-01,49,30
2014-02,48,29
2014-03,74,35
2014-04,59,30
2014-05,51,27
2014-06,49,29
2014-07,55,31
2014-08,59,34
2014-09,60,33
2014-10,62,33
2014-11,58,37
2014-12,50,32
2015-01,48,33
2015-02,44,32
2015-03,43,30
2015-04,44,28
2015-05,41,29
2015-06,46,31
2015-07,46,32
2015-08,48,39
2015-09,50,32
2015-10,48,31
2015-11,52,35
2015-12,50,32
2016-01,37,30
2016-02,41,28
2016-03,48,33
2016-04,37,25
2016-05,36,26
2016-06,43,29
2016-07,51,41
2016-08,42,31
2016-09,46,36
2016-10,54,43
2016-11,77,63
2016-12,38,33
2017-01,54,45
2017-02,51,40
2017-03,46,36
2017-04,50,40
2017-05,48,38
2017-06,49,40
2017-07,45,36
2017-08,53,43
2017-09,54,41
2017-10,50,44
2017-11,43,39
2017-12,45,43
2018-01,46,43
2018-02,46,43
2018-03,43,39
2018-04,44,42
2018-05,42,42
2018-06,39,44
2018-07,39,43
2018-08,43,44
2018-09,48,47
2018-10,46,49
2018-11,48,45
2018-12,41,38
2019-01,46,41
2019-02,41,38
2019-03,38,39
2019-04,36,38
2019-05,35,36
2019-06,33,35
2019-07,36,40
2019-08,37,40
2019-09,38,40
2019-10,41,42
2019-11,36,42
2019-12,34,42
2020-01,46,51
2020-02,40,49
2020-03,74,69
2020-04,53,53
2020-05,45,44
2020-06,47,51
2020-07,45,50